name classification filter ra_flare_median dec_flare_median ra_flare_var dec_flare_var ra_host dec_host offset_mean offset_median offset_wmean sig n_obs flare_peak_mag
13 AGN g 232.96564615 44.42503079712317 2.1786646751223825e-09 1.0004868511543712e-09 232.9655729 44.425058397123166 0.2768443793859699 0.2814819027443011 0.2736813026881005 1.1875973978999215 230.0 19.3193
15 AGN g 336.0963962 -5.287617509837013 1.2587150662906299e-09 4.2161839999962993e-10 336.0964588 -5.287611709837012 0.2520423908317325 0.22632521725373916 0.24516878083978833 1.127792447808034 25.0 19.0154
16 AGN r 336.0964108 -5.753031909347083 4.955531316393732e-10 9.007135526302478e-10 336.0964408 -5.753010409347083 0.12841920328688491 0.1328712157889973 0.12771464760156523 0.6663038244225937 20.0 19.1474
19 None r 251.57562975000002 12.47358782601164 7.20979015243484e-10 1.0136509090996373e-09 251.5757985 12.47358992601164 0.5964138265233906 0.6075470381287504 0.6013536901463428 2.722447681478429 12.0 18.7231
21 None r 114.2113525 8.663567914424483 1.7837212379305298e-09 6.598909523803731e-10 114.2113795 8.663615814424483 0.19915077079326474 0.19794795680249494 0.198880919024579 0.9630824987803616 15.0 19.1541
29 AGN r 300.51888340000005 -5.784633008446632 1.7217802612335006e-09 1.1372258823535624e-09 300.5189275 -5.784637858446632 0.158304824997555 0.1597172163423909 0.1556679222380241 0.7008187489929851 18.0 19.4785
31 "SN Ia" r 353.6083864 28.529604807310058 3.6429268394406588e-09 2.0152415584495667e-09 353.6083033 28.52961490731006 0.23232045531941398 0.24640047395655776 0.22550559253379968 0.8356012116696807 22.0 18.8773
32 "SN Ia" g 226.4077417 -5.118461970108498 2.160469444927807e-10 7.89266944441844e-10 226.4077252 -5.118442170108498 0.08338764419118992 0.09278576618603478 0.07212562560183741 0.3411046620213891 9.0 18.6357
36 AGN g 247.5235377 -8.72714278146268 5.0609269232310305e-09 1.6517458974336876e-09 247.5234929 -8.72711648146268 0.1959047815031769 0.1870174879012447 0.19319809445686212 0.8795692168364294 13.0 19.054
37 AGN r 247.5235137 -9.23207231312909 1.5208011766807625e-09 1.1760768382344658e-09 247.523467 -9.23203011312909 0.23354914497389503 0.2265921904664725 0.23054819493767703 1.2783408734014023 17.0 18.9953
38 "SN Ic" g 214.5400939 6.01254042904936 5.011002778305717e-10 1.5511086111112562e-09 214.5401556 6.01272292904936 0.5792822096358643 0.572401811318004 0.5546042483977294 3.099331646131047 9.0 18.1887
39 "SN Ic" r 214.54009795000002 6.020520684515062 9.179839285564101e-11 1.0303357143094035e-10 214.5401556 6.020664634515063 0.5498414397941964 0.5582336607405399 0.5548257076847226 3.1054975169983376 8.0 17.8666
42 AGN g 233.1530442 -1.2069242228705812 2.11246861111409e-09 2.5236174999999926e-09 233.1530006 -1.206920622870581 0.21824965515581654 0.15749413702631126 0.20804070902623673 1.0618808280103436 9.0 19.1558
49 AGN g 211.3992248 -4.129922297939797 1.98346326162364e-09 1.9728674461562377e-09 211.3992179 -4.129907147939797 0.06251052524741851 0.05993026948512006 0.06279642931385185 0.2713915925071884 26.0 19.4331
53 SN g 209.9058296 34.072090704137366 7.415804557076149e-09 2.195475911337544e-09 209.9058244 34.07209380413737 0.015315245244049728 0.05465601520663764 0.01418999347739535 0.0787140530266739 29.0 19.342
54 SN r 209.9057468 34.585861822484695 4.245277428493314e-09 2.620549714257359e-09 209.9058244 34.58585192248469 0.24952441164066202 0.28162425178804706 0.24924642850703216 1.3826078652865472 15.0 19.144
56 None g 44.31253375 7.940237223137302 2.7595285714574715e-09 4.717971428568603e-10 44.3126295 7.940323873137303 0.406903626183912 0.41682318266964197 0.4026177169771999 1.799305657607677 8.0 19.3634
57 AGN g 189.53493465 -8.403125435426038 7.038257144934713e-10 2.799674285713669e-09 189.534898 -8.403166585426039 0.2654430650811984 0.19837747654131477 0.2659207237017638 1.6571518234408578 8.0 18.0507
61 None g 227.4067638 52.799090637217404 1.2741620000521571e-08 8.598002777796607e-10 227.4066778 52.7990397372174 0.4380084456099996 0.4894063293533905 0.44333026372907214 2.321586695171029 9.0 19.4346
68 None g 249.1907253 59.3777685822741 1.240940619114326e-09 1.5210245714012575e-09 249.1907545 59.3777594822741 0.06169457070214043 0.05479218926620599 0.0629468711140526 0.294193592874694 21.0 19.3128
69 None r 249.1907164 59.87440111839377 3.139677500264815e-09 6.162349000178719e-10 249.1907545 59.87438401839377 0.10770062280949677 0.15034127571623337 0.11058273363577498 0.51682841644771 25.0 19.266
71 "SN Ia" r 339.6425586 1.4393579841242106 3.988261816054335e-10 5.671561818190454e-10 339.6427235 1.4393761841242105 0.6051757271006317 0.597244773997223 0.5978645271114976 2.823184006572533 11.0 18.6881
73 None r 46.57172185 46.68805221109092 2.5318281045297814e-09 1.0238245751626563e-09 46.571737 46.688113511090926 0.21334043404889041 0.2273197615768642 0.20510889735947133 1.1936367744232512 18.0 18.4595
76 "SN Ia" g 237.97418140000002 34.084205597534385 5.617797039190058e-10 2.278181818181357e-10 237.9740663 34.08427314753438 0.48941174915540864 0.48044845925592294 0.48580943583239844 2.892167102669387 44.0 17.6071
77 "SN Ia" r 237.9741534 34.938213445079626 1.3277515152120703e-10 2.2432878786483976e-10 237.9740663 34.938286595079624 0.28760931625370134 0.296137201319594 0.28927004612073703 2.136262668519926 12.0 17.7602
78 None r 316.28972825 -11.347742328237775 2.6244975975163743e-09 2.6163196753317964e-09 316.2897065 -11.347744278237775 0.10055857294894711 0.07861405971611948 0.10376205757743816 0.5515557283876007 22.0 19.0205
